"['""Where can I find more information about the Prospect Control Screen 5?""', '""How do I navigate between screens using F10 and F11?""', '""What\'s the difference between the \'Prospect Details screen\' and the \'Policy Details screen\'?""', '""What\'s the purpose of the \'Force Payment Processing Required\' option in the system?""', '""What does the \'Prevent copy via ESC-R\' option do in this system?""', '""How does the \'Company style key generation\' option affect the creation of the Prospect Reference?""', '""What\'s the purpose of the \'Effective Date Mandatory on Memos\' option?""', '""What does the \'Exclude quotes with source code 1\' option do in the KPI settings?""', '""What are the settings for the \'Check Insurer field is complete on NEGX frame\' option?""', '""What\'s the purpose of the \'Check mandatory fields on Load to Core\' option?""', '""What is the purpose of the \'Cross Referencing Authorisation Codes\' option in this system?""', '""What does the \'Risk Browse View Change Authorisation Code\' option do?""', '""What does the \'Always\' option mean in the context of allowing requote of transferred policies?""']",7186489690993060661
"['""How can I add more policy detail modules to my quote risk details?""', '""What does the flashing \'U\' in the top right-hand corner signify when adding a new module?""', '""What\'s the purpose of the flashing \'U\' in the top right-hand corner of the screen?""']",8714189946852939353
"['""How do I activate Commission Flex for a specific product line?""']",4134877286244062648
"['""What additional features does the Professional edition of the Prospects system offer?""']",5392826009188335858
"['""What\'s the process for creating a new prospect in the system?""']",1989594844184711697
"['""Can I search for a prospect by their postcode or name?""', '""How can I use the Prospect Search Facility to find a specific client\'s records?""', '""How do I bypass the Search Criteria pop-up box when searching for a prospect record?""', '""What\'s the purpose of the Name Search window?""', '""How does the system handle partial postcode entries during a search?""', '""How many characters can I enter in the \'Frame\' search option?""']",7564497117888412718
"['""How can I display the current contact details in the system?""', '""What types of contact details can I view at the Prospect Policy level?""', '""What information does the \'Extended Name\' field contain?""', '""What kind of information can I find in the contact details?""', '""What kind of information is included in the \'Notes\' section of the contact details?""']",-2682802892744906978
"['""What does the Operator Trail feature do in the Core Back-Office and Prospect policies?""']",-1586695256404325740
"['""How do I view the history log of a policy record?""']",2056147034847576858
"['""Where can I find the Core Cloud Specific Training videos?""', '""What are the topics covered in the Core Cloud training videos?""', '""What is the duration of the training video on changing default printer settings?""']",3562387574671506864
