"['""What type of documents are stored here?""', '""What is a Simulated Intelligent Search Page?""']",Home
"['""Can I find a guide for each Prospect Control Screen on the given links?""', '""How do I navigate between screens in Prospect Control?""', '""What\'s the difference between the \'Prospect Details screen\' and the \'Policy Details screen\'?""', '""What is the purpose of the \'Online Help available via ESC F1\' option?""', '""What does the \'Prevent copy via ESC-R\' option do in Prospect Control?""', '""What does the \'Company style key generation\' option do in Prospect Control?""', '""What\'s the purpose of the \'Effective Date Mandatory on Memos\' option?""', '""Can I customize the information that\'s displayed when accessing the Prospect Policy Risk Level?""', '""What does the \'Mandatory\' setting do for the Insurer field in the NEGX frame?""', '""What does the \'Normally Not\' setting mean in the Check mandatory fields on Load to Core function?""', '""What\'s the purpose of the \'Check for duplicate Prospects\' option?""', '""What\'s the process for setting up default info for new bike quotes?""', '""Can I prevent a requote of a policy that\'s been transferred to live?""']",Prospect Control (Prospects)
"['""How can I add more policy detail modules to my quote risk details?""', '""What does the flashing \'U\' indicate when adding modules to a prospect?""', '""What\'s the purpose of the \'Add Modules to End\' button in the Modules menu?""']",Add Modules To End (Prospects)
"['""How do I activate Commission Flex for a specific product line in Open-i?""']",Activation (Commission Flex Configuration) (Open-i only) (Prospects)
"['""What\'s the difference between the Standard and Professional editions of the Prospects system?""']",Prospects Contents (Prospects)
"['""What\'s the process for creating a new prospect in the system?""']",About This Guide (Prospects)
"['""How can I select the Prospect Details screen from the Prospect Main menu?""', '""How can I search for a specific client in the prospect records?""', '""What\'s the more efficient method for searching prospect details?""', '""What steps do I need to take to search for a client\'s details in the system?""', '""What kind of information can I find using the Postcode button?""', '""How can I limit my search to specific frames in the \'Frame\' option?""']",Accessing Prospect Details (Prospects)
"['""How can I pull up contact details for a specific prospect in the system?""', '""What contact details can I view at the Prospect Policy level?""', '""What information is included in the \'Text 1\', \'Text 2\', \'Text 3\', and \'Text 4\' fields?""', '""Can I find both email and physical address details for a particular insurer?""', '""What kind of information can I find in the \'Notes\' section of a contact\'s details?""']","Viewing Current Contact Details for Agents, Insurers, Executives and 
 Prospects (Prospects)"
"['""How can I access the Operator Trail in the system?""']",Viewing the Operator Trail (Prospects)
"['""What does the action \'Update\' mean in the Prospect/Policy History log?""']",Prospect/Policy History Log (Prospects)
"['""Where can I find the Core Cloud Specific Training Videos?""', '""What\'s the content of the \'Core Cloud Migration Familiarisation\' training video?""', '""What steps do I need to follow to change my default printer settings?""']",Training Videos (FAQs and Latest Updates)
